REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS,IS_IMPUTED
States,Kentucky,2010,45,34,15,15247,False
States,Louisiana,2010,45,463,44,22198,False
States,Maine,2010,45,22,31,6169,False
States,Maryland,2010,45,128,21,9004,False
States,Massachusetts,2010,45,187,54,25514,False
States,Michigan,2010,45,139,53,17232,False
States,Minnesota,2010,45,45,16,5487,False
States,Mississippi,2010,45,649,44,16510,False
States,Missouri,2010,45,106,31,8662,False
States,Montana,2010,45,6,6,2460,False
States,Nebraska,2010,45,105,16,3546,False
States,Nevada,2010,45,75,33,9314,False
States,New Hampshire,2010,45,16,29,5256,False
States,New Jersey,2010,45,169,25,7671,False
States,New Mexico,2010,45,186,24,7823,False
States,New York,2010,45,78,105,15453,False
States,North Carolina,2010,45,115,72,24116,False
States,North Dakota,2010,45,43,18,5672,False
States,Ohio,2010,45,86,44,16602,False
States,Oklahoma,2010,45,76,16,2952,False
States,Oregon,2010,45,54,20,6965,False
States,Pennsylvania,2010,45,184,63,17799,False
States,Rhode Island,2010,45,30,21,6284,False
States,South Carolina,2010,45,32,21,6261,False
States,South Dakota,2010,45,39,18,5246,False
States,Tennessee,2010,45,76,53,12801,False
States,Texas,2010,45,1310,97,52030,False
States,Utah,2010,45,40,16,6025,False
States,Vermont,2010,45,33,11,2928,False
States,Virginia,2010,45,888,88,62905,False
States,Washington,2010,45,40,18,3748,False
States,West Virginia,2010,45,201,34,9716,False
States,Wisconsin,2010,45,55,46,5320,False
States,Wyoming,2010,45,23,27,4964,False
States,New York City,2010,45,1557,42,89571,False
States,Alabama,2010,46,434,33,12286,False
States,Alaska,2010,46,18,7,1870,False
States,Arizona,2010,46,284,55,25897,False
States,Arkansas,2010,46,74,18,4760,False
States,California,2010,46,1020,131,36175,False
States,Colorado,2010,46,137,9,19683,False
States,Connecticut,2010,46,22,19,3555,False
States,Delaware,2010,46,12,11,3070,False
States,District of Columbia,2010,46,52,4,3282,False
States,Florida,2010,46,377,111,30459,False
States,Georgia,2010,46,1938,62,42545,False
States,Hawaii,2010,46,23,18,1753,False
